FECHA,HORA,PARAM,ATM,OBL,LDO,TLA,CEN,VAL,AGU,MIR,PIN,SFE
2014-01-01,00:00,O3,0.003,0.002,0.004,0.004,0.001,0.002,0.002,0.001,0.005,0.002
2014-01-01,00:00,PM10,90.4,84.1,36.6,64.4,94.1,40.6,75.8,94.7,158.5,164.3
2014-01-01,00:00,CO,3.644,2.002,1.178,1.547,,,2.568,2.184,2.929,2.734
2014-01-01,00:00,NO2,0.017,0.017,0.018,0.024,0.023,0.026,0.023,0.032,0.023,0.022
2014-01-01,00:00,SO2,0.005,0.003,0.003,0.002,0.013,0.003,,0.009,0.001,0.003
2014-01-01,01:00,O3,0.002,0.003,0.002,0.004,0.001,0.002,0.001,0.001,0.005,0.002
2014-01-01,01:00,PM10,94.1,114.9,48.8,71.9,101.0,51.9,87.3,103.7,118.9,166.39
2014-01-01,01:00,CO,3.439,3.657,1.958,2.594,,,1.59,3.07,2.126,2.34
2014-01-01,01:00,NO2,0.016,0.016,0.02,0.025,0.022,0.023,0.022,0.029,0.022,0.02
2014-01-01,01:00,SO2,0.005,0.003,0.003,0.002,0.013,0.003,,0.01,0.001,0.002
2014-01-01,02:00,O3,0.002,0.002,0.002,0.004,0.003,0.002,0.002,0.001,0.005,0.003
2014-01-01,02:00,PM10,89.4,130.9,71.9,123.5,94.6,56.5,90.9,126.4,135.5,124.06
2014-01-01,02:00,CO,3.842,2.349,2.499,3.441,,,1.335,4.249,2.91,2.492
2014-01-01,02:00,NO2,0.015,0.015,0.019,0.024,0.022,0.022,0.029,0.029,0.026,0.02
2014-01-01,02:00,SO2,0.005,0.003,0.003,0.003,0.013,0.003,,0.01,0.002,0.003
2014-01-01,03:00,O3,0.002,0.003,0.003,0.003,0.001,0.001,0.001,0.001,0.004,0.003
2014-01-01,03:00,PM10,84.5,59.0,113.4,133.5,84.4,38.2,76.9,162.9,132.3,131.52
2014-01-01,03:00,CO,3.245,0.568,3.76,3.762,,,1.5,4.299,3.434,2.502
2014-01-01,03:00,NO2,0.014,0.012,0.02,0.025,0.02,0.021,0.02,0.028,0.027,0.02
2014-01-01,03:00,SO2,0.005,0.01,0.003,0.004,0.013,0.002,,0.011,0.003,0.003
2014-01-01,04:00,O3,0.002,0.005,0.003,0.003,0.001,0.001,0.007,0.001,0.004,0.002
2014-01-01,04:00,PM10,57.7,15.8,161.1,109.3,95.0,28.0,53.2,141.2,107.6,140.85
2014-01-01,04:00,CO,1.926,0.447,4.399,2.678,,,0.851,3.951,3.153,2.173
2014-01-01,04:00,NO2,0.014,0.009,0.019,0.023,0.018,0.019,0.019,0.026,0.027,0.018
2014-01-01,04:00,SO2,0.004,0.006,0.003,0.003,0.013,0.002,,0.011,0.003,0.002
2014-01-01,05:00,O3,0.002,0.003,0.002,0.003,0.002,0.001,0.012,0.001,0.004,0.002
2014-01-01,05:00,PM10,31.0,10.3,121.9,77.3,72.9,29.6,21.1,112.6,87.4,128.63
2014-01-01,05:00,CO,0.648,1.094,2.337,1.433,,,0.757,3.262,2.721,1.869
2014-01-01,05:00,NO2,0.011,0.011,0.018,0.021,0.014,0.019,0.018,0.024,0.023,0.016
2014-01-01,05:00,SO2,0.003,0.002,0.003,0.002,0.013,0.002,,0.011,0.002,0.002
2014-01-01,06:00,O3,0.002,0.002,0.002,0.002,0.003,0.001,0.002,0.004,0.005,0.002
2014-01-01,06:00,PM10,9.3,18.1,64.4,35.7,27.7,33.7,15.3,82.3,174.9,141.86
2014-01-01,06:00,CO,0.332,1.286,1.886,1.098,,,0.837,1.731,3.954,1.62
2014-01-01,06:00,NO2,0.008,0.011,0.015,0.018,0.012,0.018,0.017,0.023,0.022,0.015
2014-01-01,06:00,SO2,0.003,0.004,0.003,0.001,0.012,0.002,,0.01,0.003,0.002
2014-01-01,07:00,O3,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.001,0.005,0.003
2014-01-01,07:00,PM10,8.6,26.5,66.3,20.6,18.1,42.6,23.3,61.8,170.2,116.49
2014-01-01,07:00,CO,0.578,0.994,2.202,0.99,,,0.75,1.245,3.592,2.085
2014-01-01,07:00,NO2,0.011,0.01,0.014,0.017,0.014,0.015,0.014,0.02,0.022,0.011
2014-01-01,07:00,SO2,0.003,0.005,0.003,0.001,0.012,0.003,,0.008,0.003,0.002
2014-01-01,08:00,O3,0.002,0.003,0.002,0.002,0.001,0.002,0.001,0.001,0.005,0.003
2014-01-01,08:00,PM10,12.5,19.6,78.2,24.1,20.7,42.0,36.6,33.3,131.4,145.23
2014-01-01,08:00,CO,0.541,0.734,2.52,0.912,,,0.544,1.037,3.086,2.699
2014-01-01,08:00,NO2,0.009,0.009,0.012,0.018,0.015,0.013,0.013,0.023,0.019,0.01
2014-01-01,08:00,SO2,0.002,0.001,0.003,0.001,0.013,0.002,,0.007,0.003,0.003
2014-01-01,09:00,O3,0.002,0.006,0.002,0.001,0.002,0.004,0.001,0.001,0.004,0.004
2014-01-01,09:00,PM10,14.1,17.6,77.8,23.5,19.6,22.9,42.8,38.7,75.2,162.49
2014-01-01,09:00,CO,0.714,0.724,2.456,0.771,,,0.947,1.082,2.096,2.479
2014-01-01,09:00,NO2,0.011,0.009,0.014,0.017,0.014,0.012,0.015,0.022,0.019,0.012
2014-01-01,09:00,SO2,0.003,0.001,0.003,0.001,0.013,0.002,,0.007,0.002,0.003
2014-01-01,10:00,O3,0.002,0.013,0.004,0.003,0.005,0.007,0.003,0.003,0.004,0.004
