FECHA,HORA,PARAM,ATM,AGU,CEN,PIN,LDO,MIR,OBL,SFE,TLA,VAL
2015-01-01,00:00,O3,0.01695,0.023,0.01275,0.0053,0.00332,0.0019,0.01692,0.00342,0.00927,0.02703
2015-01-01,00:00,PM10,43.95,37.63,36.7,102.28,90.69,102.3,39.15,109.86,134.63,
2015-01-01,00:00,CO,0.603,0.468,,1.382,2.757,2.757,0.667,1.773,0.967,0.567
2015-01-01,00:00,NO2,0.01005,0.01012,0.01458,0.0269,0.03973,0.03722,0.01488,0.02617,0.02363,0.00647
2015-01-01,00:00,SO2,0.00165,0.00062,,0.00492,0.00325,0.00185,0.00172,0.00157,0.0029,0.00102
2015-01-01,01:00,O3,0.01347,0.01,0.00877,0.0098,0.00213,0.0028,0.01633,0.00392,0.00702,0.0176
2015-01-01,01:00,PM10,50.04,33.46,29.31,48.79,54.57,196.46,47.01,165.4,196.55,7.31
2015-01-01,01:00,CO,0.909,0.961,,0.938,3.765,3.765,0.674,1.751,1.112,0.588
2015-01-01,01:00,NO2,0.0151,0.02977,0.02078,0.01818,0.03767,0.04058,0.0157,0.02195,0.02743,0.0181
2015-01-01,01:00,SO2,0.0019,0.00015,,0.0047,0.0035,0.00292,0.00213,0.00158,0.00295,0.00207
2015-01-01,02:00,O3,0.00273,0.002,0.00185,0.00855,0.00247,0.00308,0.00728,0.00372,0.00427,0.01062
2015-01-01,02:00,PM10,46.23,57.16,35.48,45.69,70.34,345.11,40.98,133.4,105.67,14.6
2015-01-01,02:00,CO,1.835,1.476,,0.952,3.621,3.621,1.03,1.837,1.685,1.139
2015-01-01,02:00,NO2,0.02492,0.02573,0.02822,0.02015,0.0398,0.03757,0.02605,0.01987,0.02948,0.02767
2015-01-01,02:00,SO2,0.00252,0.00057,,0.00462,0.004,0.00323,0.00175,0.00157,0.00278,0.00197
2015-01-01,03:00,O3,0.00307,0.002,0.00093,0.00778,0.00283,0.00242,0.00437,0.00238,0.00498,0.00155
2015-01-01,03:00,PM10,57.83,46.11,65.9,79.29,90.53,302.8,37.35,114.05,122.96,40.18
2015-01-01,03:00,CO,2.208,0.949,,1.441,3.124,3.124,1.698,1.577,2.358,1.605
2015-01-01,03:00,NO2,0.02338,0.02518,0.03152,0.02398,0.03705,0.0331,0.02827,0.0217,0.03085,0.0369
2015-01-01,03:00,SO2,0.00298,0.0,,0.00453,0.00382,0.00333,0.00183,0.00148,0.00303,0.002
2015-01-01,04:00,O3,0.00223,0.002,0.00098,0.00532,0.00258,0.00265,0.0044,0.00303,0.00452,0.00137
2015-01-01,04:00,PM10,56.66,59.47,69.67,238.59,82.19,219.56,51.53,96.55,149.7,52.64
2015-01-01,04:00,CO,1.473,1.409,,3.287,3.254,3.254,1.987,1.484,3.12,1.648
2015-01-01,04:00,NO2,0.01925,0.02622,0.02832,0.02805,0.03483,0.03252,0.02912,0.02238,0.02887,0.03345
2015-01-01,04:00,SO2,0.00245,0.00027,,0.00503,0.00377,0.00398,0.00238,0.001,0.00392,0.002
