FECHA,HORA,PARAM,ATM,OBL,PIN,SFE,TLA,VAL,CEN,AGU,LDO,MIR
2016-01-01,00:00,O3,0.00472,0.001,0.00513,0.00258,0.00243,0.01247,0.00227,0.00761,0.0019,0.0036
2016-01-01,00:00,PM10,146.95,197.67,,115.54,143.4,17.08,86.12,49.92,174.04,69.75
2016-01-01,00:00,CO,1.471,1.01,7.165,3.513,2.215,0.24,0.18,0.615,2.83,4.72
2016-01-01,00:00,NO2,0.02763,0.02395,0.02962,0.01947,0.02955,0.01083,0.02002,0.01966,0.03182,0.03133
2016-01-01,00:00,SO2,0.00306,0.00426,,0.00242,0.00365,,0.0024,0.00055,,0.00949
2016-01-01,01:00,O3,0.00335,0.001,0.00467,0.0029,0.0027,0.00778,0.00152,0.00248,0.00202,0.00427
2016-01-01,01:00,PM10,216.1,138.09,,84.24,100.46,29.15,46.49,52.8,115.27,68.99
2016-01-01,01:00,CO,2.653,1.069,6.272,4.953,1.835,0.387,0.736,1.177,2.15,5.8
2016-01-01,01:00,NO2,0.02632,0.02233,0.02818,0.01683,0.02557,0.01422,0.02008,0.02438,0.02975,0.0304
2016-01-01,01:00,SO2,0.00322,0.00405,,0.00369,0.00303,,0.00243,0.00106,,0.0094
2016-01-01,02:00,O3,0.00328,0.00175,0.00498,0.0031,0.00272,0.00427,0.00112,0.00173,0.00195,0.00493
2016-01-01,02:00,PM10,113.44,98.79,,135.39,82.05,30.89,63.93,52.71,99.0,117.7
2016-01-01,02:00,CO,2.712,2.026,7.088,4.286,3.287,0.822,0.948,1.594,1.957,7.098
2016-01-01,02:00,NO2,0.02698,0.02198,0.02512,0.01668,0.02573,0.01855,0.0194,0.02293,0.0293,0.03272
2016-01-01,02:00,SO2,0.00305,0.00428,,0.00344,0.00427,,0.00249,0.00119,,0.01089
2016-01-01,03:00,O3,0.00348,0.00203,0.00448,0.00347,0.003,0.00267,0.00138,0.00187,0.00163,0.0052
2016-01-01,03:00,PM10,73.3,97.94,,117.6,114.74,38.74,60.75,51.24,83.65,160.3
2016-01-01,03:00,CO,2.099,3.375,5.977,4.577,4.691,1.414,2.207,2.074,1.956,6.499
2016-01-01,03:00,NO2,0.02398,0.02485,0.02422,0.01705,0.0266,0.02007,0.01745,0.02228,0.02648,0.03272
2016-01-01,03:00,SO2,0.00259,0.00544,,0.00324,0.00525,,0.00256,0.00175,,0.01186
2016-01-01,04:00,O3,0.00323,0.00222,0.0051,0.00392,0.00332,0.00288,0.00197,0.00177,0.00272,0.00423
2016-01-01,04:00,PM10,52.55,134.39,,164.68,118.83,51.48,108.09,58.84,49.7,180.89
2016-01-01,04:00,CO,2.019,2.195,5.833,5.18,4.873,1.277,4.192,1.601,3.221,4.743
2016-01-01,04:00,NO2,0.0211,0.0236,0.02477,0.01443,0.02577,0.01867,0.02075,0.01972,0.02457,0.02728
2016-01-01,04:00,SO2,0.0022,0.00448,,0.00443,0.00532,,0.00265,0.00104,,0.00979
2016-01-01,05:00,O3,0.00353,0.0014,0.00547,0.00322,0.0036,0.00252,0.00198,0.001,0.00388,0.0053
2016-01-01,05:00,PM10,58.28,79.29,,168.3,145.76,48.87,183.2,36.1,151.01,224.9
2016-01-01,05:00,CO,2.703,0.628,6.964,4.01,4.739,1.143,3.676,1.278,4.175,5.872
2016-01-01,05:00,NO2,0.0205,0.0197,0.02227,0.01345,0.02533,0.01732,0.02045,0.01812,0.02695,0.02757
2016-01-01,05:00,SO2,0.00267,0.00353,,0.00268,0.00516,,0.00261,0.00098,,0.01099
2016-01-01,06:00,O3,0.00393,0.00208,0.00495,0.0036,0.00352,0.00285,0.002,0.001,0.00273,0.00608
2016-01-01,06:00,PM10,78.42,53.76,,154.2,127.36,45.0,168.35,26.94,153.58,227.12
2016-01-01,06:00,CO,2.793,0.964,6.757,3.759,4.094,1.253,2.197,1.427,4.656,7.018
2016-01-01,06:00,NO2,0.02377,0.0206,0.01963,0.0125,0.02363,0.01607,0.01918,0.0171,0.0228,0.02865
2016-01-01,06:00,SO2,0.00235,0.00372,,0.0025,0.00436,,0.00253,0.00121,,0.01159
2016-01-01,07:00,O3,0.00332,0.00198,0.0048,0.00375,0.0037,0.00283,0.002,0.00132,0.00293,0.00562
2016-01-01,07:00,PM10,84.0,58.49,,365.66,108.72,43.07,123.02,27.16,136.17,128.26
2016-01-01,07:00,CO,2.522,1.507,6.544,4.151,3.605,1.715,2.348,1.877,4.084,7.409
2016-01-01,07:00,NO2,0.01832,0.02012,0.02058,0.01102,0.02505,0.01452,0.01968,0.01598,0.02285,0.02925
2016-01-01,07:00,SO2,0.00249,0.00402,,0.0033,0.00398,,0.0025,0.00157,,0.01344
2016-01-01,08:00,O3,0.00428,0.00385,0.0035,0.00393,0.00388,0.00433,0.00295,0.00273,0.00233,0.0045
2016-01-01,08:00,PM10,62.28,46.85,,165.4,114.46,55.71,112.69,34.08,104.14,114.2
2016-01-01,08:00,CO,2.346,0.46,5.668,3.541,3.805,1.839,0.914,1.767,2.158,5.512
2016-01-01,08:00,NO2,0.0328,0.01332,0.03612,0.01905,0.042,0.02465,0.02197,0.02403,0.02313,0.05233
2016-01-01,08:00,SO2,0.00225,0.00367,,0.00253,0.00416,,0.00243,0.00132,,0.01231
2016-01-01,09:00,O3,0.0127,0.00917,0.00487,0.00505,0.00765,0.01688,0.01082,0.01135,0.0064,0.00507
2016-01-01,09:00,PM10,72.3,31.98,,236.37,71.27,62.45,68.35,55.46,34.7,66.11
2016-01-01,09:00,CO,1.509,0.285,5.051,1.412,1.279,1.074,0.035,1.935,0.336,3.473
2016-01-01,09:00,NO2,0.03787,0.0112,0.06748,0.0288,0.01942,0.02627,0.0161,0.04453,0.0124,0.08092
2016-01-01,09:00,SO2,0.00165,0.00353,,,0.00267,,0.00239,0.00207,,0.0096
2016-01-01,10:00,O3,0.02162,0.0167,0.0135,0.01807,0.01308,0.03137,0.0162,0.027,0.01305,0.01095
2016-01-01,10:00,PM10,42.49,19.44,,187.17,14.06,50.24,27.03,50.52,13.48,85.32
2016-01-01,10:00,CO,0.579,0.146,1.219,1.139,0.381,0.6,0.0452,0.961,0.301,0.738
2016-01-01,10:00,NO2,0.01433,0.008,0.02418,0.02623,0.00835,0.01553,0.00565,0.03142,0.01342,0.0174
2016-01-01,10:00,SO2,0.00127,0.00331,,,0.00207,,0.00239,0.00209,,0.00667
2016-01-01,11:00,O3,0.0263,0.02542,0.01863,0.03275,0.01812,0.03385,0.02248,0.029,0.0192,0.01792
2016-01-01,11:00,PM10,11.49,17.41,,137.63,4.04,23.36,12.22,18.55,3.93,59.13
2016-01-01,11:00,CO,0.456,0.127,0.222,0.949,0.331,0.234,0.05892,0.472,0.281,0.643
2016-01-01,11:00,NO2,0.01057,0.00883,0.0052,0.0198,0.00727,0.00515,0.00525,0.01698,0.01225,0.01613
2016-01-01,11:00,SO2,0.00134,0.0033,,,0.00159,,0.00235,0.00147,,0.00549
2016-01-01,12:00,O3,0.03183,0.0298,0.02852,0.0398,0.02138,0.0406,0.02395,0.03928,0.02322,0.02287
2016-01-01,12:00,PM10,8.63,17.37,,82.98,4.68,13.53,9.69,13.0,3.26,47.62
2016-01-01,12:00,CO,0.398,0.153,0.321,0.644,0.331,0.216,0.07562,0.519,0.181,0.491
2016-01-01,12:00,NO2,0.00877,0.00861,0.00572,0.01325,0.00746,0.00517,0.00325,0.01797,0.00925,0.0121
2016-01-01,12:00,SO2,0.0013,0.00325,,,0.00153,,0.00236,0.00152,,0.00415
2016-01-01,13:00,O3,0.04062,0.0386,0.04333,0.04517,0.02773,0.04817,0.03213,0.04738,0.03587,0.02973
2016-01-01,13:00,PM10,10.7,10.24,,69.75,2.66,7.24,11.18,9.28,2.82,42.97
2016-01-01,13:00,CO,0.43,0.146,0.341,0.338,0.334,0.213,0.085692,0.472,0.158,0.552
2016-01-01,13:00,NO2,0.01057,0.00807,0.00593,0.00782,0.00838,0.0057,0.0056,0.01575,0.00717,0.0132
2016-01-01,13:00,SO2,0.00109,0.00344,,,0.00148,,0.0024,0.00157,,0.00406
