FECHA,HORA,PARAM,ATM,AGU,LDO,MIR,CEN,OBL,PIN,TLA,SFE,VAL
2017-01-01,00:00,O3,0.014,0.022,0.006,0.011,0.022,0.014,0.011,0.013,0.01,0.028
2017-01-01,00:00,PM10,49.6,20.1,74.1,94.43,22.6,80.8,130.8,48.2,69.027,
2017-01-01,00:00,CO,1.041,0.582,1.058,1.342,,0.989,1.702,0.79,0.841,0.612
2017-01-01,00:00,NO2,0.018,0.021,0.029,0.022,0.014,0.018,0.04,0.017,0.018,0.011
2017-01-01,00:00,SO2,0.0025,0.002,0.0029,,0.0018,0.0034,,0.0038,0.002,0.0018
2017-01-01,01:00,O3,0.013,0.018,0.003,0.004,0.019,0.016,0.006,0.01,0.007,0.029
2017-01-01,01:00,PM10,76.7,37.1,89.4,90.23,28.6,79.7,148.4,76.4,65.027,
2017-01-01,01:00,CO,0.963,0.76,1.611,2.165,,0.899,2.222,0.829,1.4,0.633
2017-01-01,01:00,NO2,0.018,0.034,0.034,0.033,0.016,0.016,0.04,0.023,0.024,0.009
2017-01-01,01:00,SO2,0.0029,0.0022,0.0026,,0.0018,0.0027,,0.0032,0.0022,0.0018
2017-01-01,02:00,O3,0.007,0.014,0.003,0.004,0.023,0.011,0.006,0.01,0.001,0.024
2017-01-01,02:00,PM10,84.6,46.5,106.5,145.69,30.3,82.0,220.6,56.6,121.3,
2017-01-01,02:00,CO,1.137,0.895,1.539,1.952,,1.077,3.341,0.891,1.749,0.687
2017-01-01,02:00,NO2,0.022,0.027,0.034,0.03,0.012,0.02,0.044,0.021,0.027,0.015
2017-01-01,02:00,SO2,0.0024,0.0022,0.002,,0.0018,0.0025,,0.003,0.0022,0.0018
2017-01-01,03:00,O3,0.002,0.002,0.002,0.004,0.016,0.006,0.006,0.006,0.002,0.012
2017-01-01,03:00,PM10,50.3,35.5,81.7,91.68,29.1,60.8,310.2,36.4,167.73,
2017-01-01,03:00,CO,1.863,1.459,1.537,2.812,,1.403,5.046,1.163,2.015,0.856
2017-01-01,03:00,NO2,0.025,0.037,0.035,0.031,0.018,0.023,0.039,0.028,0.024,0.025
2017-01-01,03:00,SO2,0.0021,0.0025,0.0014,,0.0018,0.0025,,0.003,0.0023,0.0018
2017-01-01,04:00,O3,0.001,0.006,0.002,0.005,0.005,0.008,0.006,0.005,0.0,0.008
2017-01-01,04:00,PM10,53.1,43.4,71.8,164.7,40.5,4.3,356.7,50.9,181.63,
2017-01-01,04:00,CO,1.45,1.024,1.84,3.586,,1.345,4.998,1.935,2.226,1.056
2017-01-01,04:00,NO2,0.023,0.033,0.031,0.032,0.028,0.021,0.044,0.032,0.023,0.03
2017-01-01,04:00,SO2,0.002,0.0022,0.0018,,0.0018,0.0025,,0.0034,0.0025,0.0017
2017-01-01,05:00,O3,0.001,0.004,0.002,0.004,0.001,0.006,0.005,0.005,0.001,0.005
2017-01-01,05:00,PM10,46.2,34.6,62.7,315.79,72.7,4.8,264.4,93.4,186.1,
2017-01-01,05:00,CO,1.321,1.155,2.588,3.465,,1.778,4.169,2.509,2.647,1.078
2017-01-01,05:00,NO2,0.02,0.032,0.027,0.03,0.031,0.024,0.035,0.03,0.022,0.031
2017-01-01,05:00,SO2,0.0018,0.002,0.0022,,0.0019,0.003,,0.0038,0.003,0.0017
2017-01-01,06:00,O3,0.001,0.002,0.002,0.004,0.003,0.005,0.005,0.005,0.001,0.003
2017-01-01,06:00,PM10,45.6,44.8,64.3,296.39,80.6,53.2,264.9,112.6,215.3,
