FECHA,HORA,PARAM,AGU,ATM,CEN,PIN,LDO,MIR,OBL,SFE,TLA,VAL
2018-01-01,00:00,O3,0.026,0.009,0.006,0.003,0.006,,0.014,0.014,0.01,0.033
2018-01-01,00:00,PM10,42.6,89.2,85.03,238.2,163.3,103.55,88.5,80.844,104.3,35.3
2018-01-01,00:00,CO,0.696,1.289,0.945,2.08,2.107,,0.968,1.586,1.378,2.847
2018-01-01,00:00,NO2,0.032,0.031,0.031,0.067,0.038,0.029,0.025,0.017,0.032,0.01
2018-01-01,00:00,SO2,0.0034,0.0029,0.0024,,0.0042,0.0013,0.0034,0.0042,0.006,0.0015
2018-01-01,01:00,O3,0.014,0.008,0.003,0.003,0.005,,0.012,0.013,0.004,0.024
2018-01-01,01:00,PM10,52.3,88.3,106.92,224.3,286.2,199.05,91.2,177.17,144.5,39.5
2018-01-01,01:00,CO,0.978,1.792,1.808,1.978,2.3,,0.934,1.612,1.945,2.841
2018-01-01,01:00,NO2,0.036,0.029,0.031,0.063,0.037,0.032,0.026,0.015,0.033,0.017
2018-01-01,01:00,SO2,0.0032,0.0029,0.003,,0.0038,0.0013,0.003,0.004,0.0043,0.0017
2018-01-01,02:00,O3,0.002,0.002,0.003,0.004,0.005,,0.004,0.011,0.004,0.013
2018-01-01,02:00,PM10,64.6,71.5,137.62,223.2,215.0,244.17,115.0,104.96,174.1,34.6
2018-01-01,02:00,CO,1.71,1.716,1.649,2.586,1.978,,2.17,1.852,2.491,2.919
2018-01-01,02:00,NO2,0.044,0.033,0.029,0.063,0.036,0.031,0.034,0.015,0.035,0.022
2018-01-01,02:00,SO2,0.0036,0.0028,0.0033,,0.0023,0.0013,0.0041,0.0042,0.0051,0.0018
2018-01-01,03:00,O3,0.004,0.003,0.003,0.005,0.004,,0.004,0.012,0.003,0.015
2018-01-01,03:00,PM10,75.2,57.6,113.21,390.6,162.0,224.8,128.1,132.18,130.4,30.0
2018-01-01,03:00,CO,1.566,1.337,1.887,4.099,2.083,,1.649,1.512,2.316,3.082
2018-01-01,03:00,NO2,0.045,0.03,0.028,0.062,0.036,0.03,0.032,0.015,0.034,0.019
2018-01-01,03:00,SO2,0.0035,0.0021,0.003,,0.0029,0.0013,0.0035,0.0037,0.0051,0.0017
2018-01-01,04:00,O3,0.004,0.001,0.003,0.003,0.003,,0.005,0.012,0.003,0.004
2018-01-01,04:00,PM10,69.4,61.4,122.74,261.0,127.2,304.05,84.0,101.2,117.7,46.8
2018-01-01,04:00,CO,1.348,1.838,2.719,2.58,2.517,,1.41,1.879,2.773,3.409
2018-01-01,04:00,NO2,0.041,0.033,0.028,0.054,0.033,0.033,0.03,0.014,0.031,0.026
2018-01-01,04:00,SO2,0.0031,0.0026,0.0033,,0.0023,0.0013,0.0032,0.004,0.0049,0.0017
2018-01-01,05:00,O3,0.007,0.001,0.003,0.004,0.003,,0.005,0.01,0.005,0.003
2018-01-01,05:00,PM10,61.5,68.6,150.77,273.2,154.3,321.88,99.1,167.2,160.2,67.3
2018-01-01,05:00,CO,1.199,1.773,2.681,2.854,2.342,,1.372,1.79,3.617,3.552
