FECHA,HORA,PARAM,AGU,VAL,ATM,CEN,PIN,MIR,OBL,LDO,SFE,TLA
2019-01-01,00:00,O3,0.003,0.003,0.001,,0.005,0.003,0.002,0.003,0.005,0.004
2019-01-01,00:00,PM10,,78.4,173.6,,343.7,,171.0,258.2,189.19,260.52
2019-01-01,00:00,CO,1.814,1.968,3.224,,6.641,1.814,4.466,3.828,,6.856
2019-01-01,00:00,NO2,0.01,0.04,0.023,,0.215,0.01,0.038,0.065,0.011,0.044
2019-01-01,00:00,SO2,0.0024,0.0015,0.0044,,0.0068,0.0018999999999999998,0.0146,0.003,0.0038,0.0069
2019-01-01,01:00,O3,0.002,0.003,0.002,,0.006,0.002,0.003,0.003,0.005,0.004
2019-01-01,01:00,PM10,,92.8,122.1,,490.2,,194.0,246.9,,306.19
2019-01-01,01:00,CO,1.578,2.009,3.84,,7.06,1.578,5.357,3.788,,5.402
2019-01-01,01:00,NO2,0.009,0.036,0.022,,0.227,0.009,0.037,0.09,0.01,0.042
2019-01-01,01:00,SO2,0.0026000000000000003,0.0016,0.0042,,0.0078,0.0021000000000000003,0.008,0.004,0.0049,0.0085
2019-01-01,02:00,O3,0.003,0.003,0.002,,0.006,0.003,0.002,0.003,0.005,0.005
2019-01-01,02:00,PM10,,89.9,128.3,,443.0,,137.3,205.6,270.47,387.25
2019-01-01,02:00,CO,1.897,1.777,4.086,,6.224,1.897,1.503,4.125,,8.872
2019-01-01,02:00,NO2,0.009,0.038,0.02,,0.195,0.009,0.03,0.095,0.009,0.051
2019-01-01,02:00,SO2,0.0026000000000000003,0.0015,0.0048,,0.0074,0.0021000000000000003,0.0044,0.0042,0.0042,0.0089
2019-01-01,03:00,O3,0.003,0.003,0.002,,0.007,0.003,0.002,0.004,0.005,0.005
2019-01-01,03:00,PM10,,83.0,151.1,,486.1,,54.3,221.4,274.94,517.59
2019-01-01,03:00,CO,2.359,1.473,4.581,,6.724,2.359,1.436,4.118,,8.006
2019-01-01,03:00,NO2,0.009,0.033,0.02,,0.167,0.009,0.027,0.088,0.009,0.047
2019-01-01,03:00,SO2,0.0026999999999999997,0.0015,0.0048,,0.0069,0.0021999999999999997,0.0024,0.0038,0.0059,0.0085
2019-01-01,04:00,O3,0.003,0.003,0.002,,0.006,0.003,0.003,0.005,0.005,0.004
2019-01-01,04:00,PM10,,88.1,121.7,,540.0,,86.2,314.3,286.11,492.49
2019-01-01,04:00,CO,2.021,1.19,2.776,,6.98,2.021,3.96,3.997,,7.31
2019-01-01,04:00,NO2,0.008,0.036,0.021,,0.228,0.008,0.031,0.076,0.01,0.048
2019-01-01,04:00,SO2,0.0025,0.0015,0.0036,,0.0074,0.002,0.005,0.0036,0.0043,0.0081
2019-01-01,05:00,O3,0.003,0.002,0.002,,0.006,0.003,0.002,0.002,0.005,0.004
2019-01-01,05:00,PM10,,67.7,111.5,,463.3,,95.8,222.3,248.74,371.74
